graph_type,cap_type,n,d,hi,seed,m,median_time,flow,graph_file
grid,int,4000,4000,1023,2,7195,0.00203590000000000,651,grid_n4000_rows5_n4000_hi1023_seed2.max
grid,int,4000,4000,2047,0,7195,0.00242020000000000,663,grid_n4000_rows5_n4000_hi2047_seed0.max
grid,int,4000,4000,2047,1,7195,0.00197340000000000,657,grid_n4000_rows5_n4000_hi2047_seed1.max
grid,int,4000,4000,2047,2,7195,0.00137700000000000,659,grid_n4000_rows5_n4000_hi2047_seed2.max
grid,int,4000,4000,4095,0,7195,0.00215390000000000,692,grid_n4000_rows5_n4000_hi4095_seed0.max
grid,int,4000,4000,4095,1,7195,0.00172880000000000,658,grid_n4000_rows5_n4000_hi4095_seed1.max
grid,int,4000,4000,4095,2,7195,0.00215690000000000,745,grid_n4000_rows5_n4000_hi4095_seed2.max
grid,irrational,250,250,1023,0,445,0.00008980000000000,0.353047,grid_n250_rows5_n250_hi1023_seed0.max
grid,irrational,250,250,1023,1,445,0.00014470000000000,0.462057,grid_n250_rows5_n250_hi1023_seed1.max
grid,irrational,250,250,1023,2,445,0.00007780000000000,0.539912,grid_n250_rows5_n250_hi1023_seed2.max
grid,irrational,500,500,1023,0,895,0.00024420000000000,0.412033,grid_n500_rows5_n500_hi1023_seed0.max
grid,irrational,500,500,1023,1,895,0.00024120000000000,0.448432,grid_n500_rows5_n500_hi1023_seed1.max
grid,irrational,500,500,1023,2,895,0.00023980000000000,0.410853,grid_n500_rows5_n500_hi1023_seed2.max
grid,irrational,1000,1000,1023,0,1795,0.00029130000000000,0.343706,grid_n1000_rows5_n1000_hi1023_seed0.max
grid,irrational,1000,1000,1023,1,1795,0.00038300000000000,0.357067,grid_n1000_rows5_n1000_hi1023_seed1.max
grid,irrational,1000,1000,1023,2,1795,0.00033660000000000,0.333733,grid_n1000_rows5_n1000_hi1023_seed2.max
grid,irrational,2000,2000,1023,0,3595,0.00082100000000000,0.328760,grid_n2000_rows5_n2000_hi1023_seed0.max
grid,irrational,2000,2000,1023,1,3595,0.00070650000000000,0.327533,grid_n2000_rows5_n2000_hi1023_seed1.max
grid,irrational,2000,2000,1023,2,3595,0.00078500000000000,0.331064,grid_n2000_rows5_n2000_hi1023_seed2.max
grid,irrational,4000,4000,1023,0,7195,0.00170440000000000,0.323127,grid_n4000_rows5_n4000_hi1023_seed0.max
grid,irrational,4000,4000,1023,1,7195,0.00175280000000000,0.317792,grid_n4000_rows5_n4000_hi1023_seed1.max
grid,irrational,4000,4000,1023,2,7195,0.00160680000000000,0.320514,grid_n4000_rows5_n4000_hi1023_seed2.max
grid,rational,250,250,1023,0,445,0.00010300000000000,4973011/85680,grid_n250_rows5_n250_hi1023_seed0.max
grid,rational,250,250,1023,1,445,0.00011180000000000,6144/95,grid_n250_rows5_n250_hi1023_seed1.max
grid,rational,250,250,1023,2,445,0.00007220000000000,184294/2907,grid_n250_rows5_n250_hi1023_seed2.max
grid,rational,500,500,1023,0,895,0.00021700000000000,1729/40,grid_n500_rows5_n500_hi1023_seed0.max
grid,rational,500,500,1023,1,895,0.00024210000000000,4387/78,grid_n500_rows5_n500_hi1023_seed1.max
grid,rational,500,500,1023,2,895,0.00016110000000000,78229/1530,grid_n500_rows5_n500_hi1023_seed2.max
grid,rational,1000,1000,1023,0,1795,0.00039150000000000,7831/190,grid_n1000_rows5_n1000_hi1023_seed0.max
grid,rational,1000,1000,1023,1,1795,0.00045930000000000,33303/760,grid_n1000_rows5_n1000_hi1023_seed1.max
grid,rational,1000,1000,1023,2,1795,0.00033510000000000,197681/4560,grid_n1000_rows5_n1000_hi1023_seed2.max
grid,rational,2000,2000,1023,0,3595,0.00089150000000000,59827/1360,grid_n2000_rows5_n2000_hi1023_seed0.max
grid,rational,2000,2000,1023,1,3595,0.00085030000000000,977563/25840,grid_n2000_rows5_n2000_hi1023_seed1.max
grid,rational,2000,2000,1023,2,3595,0.00086100000000000,488571/12920,grid_n2000_rows5_n2000_hi1023_seed2.max
grid,rational,4000,4000,1023,0,7195,0.00179610000000000,11605/306,grid_n4000_rows5_n4000_hi1023_seed0.max
grid,rational,4000,4000,1023,1,7195,0.00233470000000000,236161/6460,grid_n4000_rows5_n4000_hi1023_seed1.max
grid,rational,4000,4000,1023,2,7195,0.00284960000000000,50601/1292,grid_n4000_rows5_n4000_hi1023_seed2.max
grid,unit,250,250,1023,0,445,0.00006190000000000,2,grid_n250_rows5_n250_hi1023_seed0.max
grid,unit,250,250,1023,1,445,0.00004160000000000,2,grid_n250_rows5_n250_hi1023_seed1.max
grid,unit,250,250,1023,2,445,0.00004220000000000,2,grid_n250_rows5_n250_hi1023_seed2.max
grid,unit,500,500,1023,0,895,0.00008400000000000,2,grid_n500_rows5_n500_hi1023_seed0.max
